repository,category,technique,github_url,stars,forks,open_issues,archived,license,last_push_utc,primary_language,default_branch,created_utc,updated_utc,homepage,description,evidence_grade,local_benchmark_status,prompt_tokens_reduced,target_model_agnostic,query_aware,extractive,abstractive,token_pruning,sentence_pruning,reranking,local_execution,cpu_viable,gpu_optional,cheap_model_supported,model_free,streaming_safe,structured_data_safe,code_safe,citation_safe,instruction_hierarchy_safe,reversible,fallback_capable,proxy_integration,openai_compatible,python_api,cli,batch,quality_evaluation,latency_measurement,long_context_focus,kv_cache_only,savings_20,quality_20,latency_10,local_deploy_10,model_footprint_8,proxy_integration_12,safety_reversibility_8,maturity_7,popularity_5,total_100,crown,notes,captured_at_utc
JungHoyoun/PromptCompressor,prompt-compression,prompt compression prototype,https://github.com/JungHoyoun/PromptCompressor,12,3,1,False,[UNVERIFIZIERT] (NOASSERTION),2024-04-29T19:22:26Z,Python,master,2023-09-29T07:14:12Z,2025-10-19T05:42:50Z,,,GitHub API + primary README + category inference,not locally executed; primary-source assessment,yes,yes,no,no,no,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,8.0,8.0,6.0,7.0,7.0,5.0,3.0,2.0,1.0,47.0,,Small prototype with sparse evidence,2026-07-20T15:18:47.402949+00:00
linshenkx/prompt-optimizer,prompt-enhancement,LLM prompt rewrite,https://github.com/linshenkx/prompt-optimizer,32348,3784,7,False,[UNVERIFIZIERT] (NOASSERTION),2026-07-18T10:13:54Z,TypeScript,develop,2025-02-12T06:06:49Z,2026-07-20T14:40:12Z,https://prompt.always200.com,An AI prompt optimizer for writing better prompts and getting better AI results.,GitHub API + primary README + category inference,not locally executed; primary-source assessment,no,yes,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,yes,yes,yes,no,no,no,no,no,no,no,0.0,11.0,5.0,3.0,5.0,8.0,4.0,6.0,4.5,46.5,,"Popular enhancer, usually expands prompts and is not a token saver",2026-07-20T15:18:47.402949+00:00
zou-group/textgrad,prompt-optimization,textual gradients,https://github.com/zou-group/textgrad,3657,295,66,False,MIT,2025-07-25T14:30:39Z,Python,main,2024-06-11T00:34:56Z,2026-07-19T23:30:15Z,http://textgrad.com/,TextGrad: Automatic ''Differentiation'' via Text -- using large language models to backpropagate textual gradients. Published in Nature.,GitHub API + primary README + category inference,not locally executed; primary-source assessment,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,yes,yes,no,no,no,0.0,17.0,2.0,5.0,3.0,5.0,5.0,6.0,3.5,46.5,,Research optimizer; expensive and offline-oriented,2026-07-20T15:18:47.402949+00:00
Zefan-Cai/KVCache-Factory,kv-cache,unified KV eviction methods,https://github.com/Zefan-Cai/KVCache-Factory,1355,178,3,False,MIT,2026-07-10T04:23:17Z,Python,main,2024-06-05T08:02:23Z,2026-07-20T10:03:16Z,,Unified KV Cache Compression Methods for Auto-Regressive Models,GitHub API + primary README + category inference,not locally executed; primary-source assessment,no,no,no,no,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,yes,yes,0.0,16.0,8.0,3.0,2.0,3.0,5.0,6.0,3.5,46.5,,Useful comparative implementation; target runtime access required,2026-07-20T15:18:47.402949+00:00
FMInference/H2O,kv-cache,heavy-hitter KV eviction,https://github.com/FMInference/H2O,530,86,36,False,[UNVERIFIZIERT] (NOASSERTION),2024-08-01T19:41:25Z,Python,main,2023-06-12T06:03:19Z,2026-07-20T14:18:39Z,,[NeurIPS'23] H2O: Heavy-Hitter Oracle for Efficient Generative Inference of Large Language Models.,GitHub API + primary README + category inference,not locally executed; primary-source assessment,no,no,no,no,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,yes,yes,0.0,16.0,9.0,3.0,2.0,2.0,5.0,6.0,3.0,46.0,,Strong paper evidence but runtime-side only,2026-07-20T15:18:47.402949+00:00
SqueezeAILab/KVQuant,kv-cache,KV quantization,https://github.com/SqueezeAILab/KVQuant,431,46,17,False,[UNVERIFIZIERT] (NOASSERTION),2024-08-13T11:19:28Z,Python,main,2024-01-31T17:30:10Z,2026-07-20T09:18:48Z,https://arxiv.org/abs/2401.18079,[NeurIPS 2024] KVQuant: Towards 10 Million Context Length LLM Inference with KV Cache Quantization,GitHub API + primary README + category inference,not locally executed; primary-source assessment,no,no,no,no,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,yes,yes,0.0,16.0,9.0,3.0,2.0,2.0,6.0,5.0,2.5,45.5,,Memory reduction without prompt-token reduction,2026-07-20T15:18:47.402949+00:00
jy-yuan/KIVI,kv-cache,2-bit asymmetric KV quantization,https://github.com/jy-yuan/KIVI,418,56,7,False,MIT,2025-11-20T20:34:33Z,Python,main,2024-02-02T17:41:32Z,2026-07-16T14:04:43Z,https://arxiv.org/abs/2402.02750,[ICML 2024] KIVI: A Tuning-Free Asymmetric 2bit Quantization for KV Cache,GitHub API + primary README + category inference,not locally executed; primary-source assessment,no,no,no,no,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,yes,yes,0.0,16.0,9.0,3.0,2.0,2.0,6.0,5.0,2.5,45.5,,Memory reduction without prompt-token reduction,2026-07-20T15:18:47.402949+00:00
FasterDecoding/SnapKV,kv-cache,attention-based KV eviction,https://github.com/FasterDecoding/SnapKV,324,34,19,False,Apache-2.0,2025-07-10T21:54:27Z,Python,main,2024-03-23T05:36:18Z,2026-07-18T15:41:15Z,,,GitHub API + primary README + category inference,not locally executed; primary-source assessment,no,no,no,no,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,yes,yes,0.0,15.0,9.0,3.0,2.0,2.0,5.0,5.0,2.5,43.5,,Model-runtime modification; irrelevant to hosted target APIs,2026-07-20T15:18:47.402949+00:00
ByteDance-Seed/ShadowKV,kv-cache,low-rank KV offload,https://github.com/ByteDance-Seed/ShadowKV,310,26,8,False,Apache-2.0,2025-05-01T22:49:30Z,Python,main,2024-10-22T02:32:21Z,2026-07-17T00:52:25Z,https://ByteDance-Seed.github.io/ShadowKV/,[ICML 2025 Spotlight] ShadowKV: KV Cache in Shadows for High-Throughput Long-Context LLM Inference,GitHub API + primary README + category inference,not locally executed; primary-source assessment,no,no,no,no,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,yes,yes,0.0,16.0,9.0,2.0,1.0,2.0,6.0,5.0,2.5,43.5,,Runtime-side GPU optimization,2026-07-20T15:18:47.402949+00:00
Infini-AI-Lab/TriForce,kv-cache,hierarchical speculative decoding and cache,https://github.com/Infini-AI-Lab/TriForce,281,20,9,False,[UNVERIFIZIERT] (NOASSERTION),2024-08-31T21:42:39Z,Python,main,2024-04-04T01:37:19Z,2026-06-30T16:46:09Z,https://infini-ai-lab.github.io/TriForce/,[COLM 2024] TriForce: Lossless Acceleration of Long Sequence Generation with Hierarchical Speculative Decoding,GitHub API + primary README + category inference,not locally executed; primary-source assessment,no,no,no,no,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,yes,yes,0.0,15.0,9.0,2.0,1.0,2.0,5.0,5.0,2.5,41.5,,Complex inference-stack change,2026-07-20T15:18:47.402949+00:00
SqueezeAILab/SqueezedAttention,kv-cache,compressed KV serving,https://github.com/SqueezeAILab/SqueezedAttention,58,7,4,False,[UNVERIFIZIERT] (NOASSERTION),2024-11-20T17:49:33Z,Python,main,2024-11-14T00:33:12Z,2026-06-30T16:48:06Z,,[ACL 2025] Squeezed Attention: Accelerating Long Prompt LLM Inference,GitHub API + primary README + category inference,not locally executed; primary-source assessment,no,no,no,no,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,yes,yes,0.0,16.0,8.0,2.0,1.0,2.0,5.0,5.0,2.0,41.0,,Runtime-side research implementation,2026-07-20T15:18:47.402949+00:00
google-deepmind/opro,prompt-optimization,LLM-as-optimizer,https://github.com/google-deepmind/opro,764,93,6,False,Apache-2.0,2024-12-04T21:04:50Z,Python,main,2023-10-02T04:30:31Z,2026-07-13T08:37:05Z,https://arxiv.org/abs/2309.03409,"official code for ""Large Language Models as Optimizers""",GitHub API + primary README + category inference,not locally executed; primary-source assessment,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,no,0.0,16.0,1.0,2.0,2.0,3.0,4.0,5.0,3.0,36.0,,Reference research code; not a live proxy component,2026-07-20T15:18:47.402949+00:00
